Customer_ID,Recommended_Category,Reason,Confidence,RFM_Segment,Cluster_Name,Predicted_CLV,Churn_Probability
CUS000842,Agrochemicals,Association Rules,0.8167838369717475,About to Sleep,Mid-Tier Customers,180611.63727360632,0.1798264940017725
CUS000843,Equipment,Association Rules,0.31512959466284873,Lost,Lost Low-Value,23711.039457333434,0.9995457789599156
CUS000843,Feed,Association Rules,0.29012955797697954,Lost,Lost Low-Value,23711.039457333434,0.9995457789599156
CUS000843,Fruits,Association Rules,0.2690364625410675,Lost,Lost Low-Value,23711.039457333434,0.9995457789599156
CUS000844,Fruits,Association Rules,0.701729436554542,Hibernating,Lost Low-Value,51980.92004016915,0.9995457789599156
CUS000844,Equipment,Association Rules,0.671219835254151,Hibernating,Lost Low-Value,51980.92004016915,0.9995457789599156
CUS000844,Feed,Association Rules,0.6386166672251756,Hibernating,Lost Low-Value,51980.92004016915,0.9995457789599156
CUS000845,Fruits,Association Rules,0.43269297401347445,Lost,Lost Low-Value,15364.862016254285,0.9995457789599156
CUS000845,Equipment,Association Rules,0.3560902405913023,Lost,Lost Low-Value,15364.862016254285,0.9995457789599156
CUS000845,Feed,Association Rules,0.3484871092481961,Lost,Lost Low-Value,15364.862016254285,0.9995457789599156
CUS000846,Other,Hybrid (Collaborative + Association),0.9660418653031497,Loyal Customers,Lost Low-Value,258917.29849191057,0.999524280955463
CUS000846,Fruits,Association Rules,0.701729436554542,Loyal Customers,Lost Low-Value,258917.29849191057,0.999524280955463
CUS000846,Equipment,Association Rules,0.671219835254151,Loyal Customers,Lost Low-Value,258917.29849191057,0.999524280955463
CUS000847,Equipment,Association Rules,0.31512959466284873,Champions,Mid-Tier Customers,1366716.0734174529,0.0631443997574619
CUS000847,Feed,Association Rules,0.29012955797697954,Champions,Mid-Tier Customers,1366716.0734174529,0.0631443997574619
CUS000847,Fruits,Association Rules,0.2690364625410675,Champions,Mid-Tier Customers,1366716.0734174529,0.0631443997574619
CUS000848,Feed,Hybrid (Collaborative + Association),1.0,Champions,Dormant Veterans,597109.7240657593,0.2338436331093301
CUS000848,Fertilizer,Hybrid (Collaborative + Association),1.0,Champions,Dormant Veterans,597109.7240657593,0.2338436331093301
CUS000848,Equipment,Association Rules,1.0,Champions,Dormant Veterans,597109.7240657593,0.2338436331093301
CUS000849,Poultry,Hybrid (Collaborative + Association),1.0,Big Spenders,Mid-Tier Customers,275010.45612234424,0.9994754536213072
CUS000849,Unknown,Hybrid (Collaborative + Association),0.735399061161241,Big Spenders,Mid-Tier Customers,275010.45612234424,0.9994754536213072
CUS000849,Seeds,Hybrid (Collaborative + Association),0.45201900549943097,Big Spenders,Mid-Tier Customers,275010.45612234424,0.9994754536213072
CUS000850,Fertilizer,Hybrid (Collaborative + Association),1.0,Champions,Loyal High-Value,20309682.57080592,0.0077017348614308
CUS000850,Agrochemicals,Hybrid (Collaborative + Association),1.0,Champions,Loyal High-Value,20309682.57080592,0.0077017348614308
CUS000850,Fruits,Association Rules,1.0,Champions,Loyal High-Value,20309682.57080592,0.0077017348614308
CUS000851,Fruits,Association Rules,0.5180207407407407,Lost,Lost Low-Value,36997.76729396325,0.9996253440568956
CUS000851,Fertilizer,Association Rules,0.49025475805136304,Lost,Lost Low-Value,36997.76729396325,0.9996253440568956
CUS000851,Feed,Association Rules,0.3175660749506903,Lost,Lost Low-Value,36997.76729396325,0.9996253440568956
CUS000852,Equipment,Association Rules,0.4832405348939241,Need Attention,Mid-Tier Customers,17337.462299129373,0.9996253457127178
CUS000852,Feed,Association Rules,0.448302807430727,Need Attention,Mid-Tier Customers,17337.462299129373,0.9996253457127178
CUS000852,Fertilizer,Association Rules,0.3774573400147679,Need Attention,Mid-Tier Customers,17337.462299129373,0.9996253457127178
