Customer_ID,Category,Customer_CLV,Category_Popularity
CUS001507,Feed,1902227.549468534,217
CUS001507,Agrochemicals,1902227.549468534,161
CUS001507,Equipment,1902227.549468534,86
CUS001507,Vegetables,1902227.549468534,28
CUS001507,Fruits,1902227.549468534,15
CUS001508,Poultry,1251682.4650518273,10299
CUS001508,Other,1251682.4650518273,2175
CUS001508,Fertilizer,1251682.4650518273,218
CUS001508,Feed,1251682.4650518273,217
CUS001508,Agrochemicals,1251682.4650518273,161
CUS001508,Equipment,1251682.4650518273,86
CUS001508,Vegetables,1251682.4650518273,28
CUS001508,Fruits,1251682.4650518273,15
CUS001510,Unknown,801928.4790393335,2339
CUS001510,Other,801928.4790393335,2175
CUS001510,Feed,801928.4790393335,217
CUS001510,Agrochemicals,801928.4790393335,161
CUS001510,Equipment,801928.4790393335,86
CUS001510,Vegetables,801928.4790393335,28
CUS001510,Fruits,801928.4790393335,15
CUS001520,Unknown,1397925.9491894203,2339
CUS001520,Seeds,1397925.9491894203,880
CUS001520,Fertilizer,1397925.9491894203,218
CUS001520,Feed,1397925.9491894203,217
CUS001520,Agrochemicals,1397925.9491894203,161
CUS001520,Equipment,1397925.9491894203,86
CUS001520,Vegetables,1397925.9491894203,28
CUS001520,Fruits,1397925.9491894203,15
CUS001522,Seeds,1005752.3252920388,880
CUS001522,Fertilizer,1005752.3252920388,218
CUS001522,Feed,1005752.3252920388,217
CUS001522,Agrochemicals,1005752.3252920388,161
CUS001522,Equipment,1005752.3252920388,86
CUS001522,Vegetables,1005752.3252920388,28
CUS001522,Fruits,1005752.3252920388,15
CUS001525,Poultry,855571.486831871,10299
CUS001525,Unknown,855571.486831871,2339
CUS001525,Fertilizer,855571.486831871,218
CUS001525,Feed,855571.486831871,217
CUS001525,Agrochemicals,855571.486831871,161
CUS001525,Equipment,855571.486831871,86
CUS001525,Vegetables,855571.486831871,28
CUS001525,Fruits,855571.486831871,15
CUS001531,Poultry,6025800.339979978,10299
CUS001531,Unknown,6025800.339979978,2339
CUS001531,Other,6025800.339979978,2175
CUS001531,Seeds,6025800.339979978,880
CUS001531,Fertilizer,6025800.339979978,218
CUS001531,Feed,6025800.339979978,217
CUS001531,Agrochemicals,6025800.339979978,161
CUS001531,Vegetables,6025800.339979978,28
CUS001531,Fruits,6025800.339979978,15
CUS001534,Unknown,926682.6441509604,2339
CUS001534,Other,926682.6441509604,2175
CUS001534,Seeds,926682.6441509604,880
CUS001534,Fertilizer,926682.6441509604,218
CUS001534,Feed,926682.6441509604,217
CUS001534,Agrochemicals,926682.6441509604,161
CUS001534,Equipment,926682.6441509604,86
CUS001534,Vegetables,926682.6441509604,28
CUS001534,Fruits,926682.6441509604,15
CUS001535,Seeds,604889.968741657,880
CUS001535,Fertilizer,604889.968741657,218
CUS001535,Feed,604889.968741657,217
CUS001535,Agrochemicals,604889.968741657,161
CUS001535,Equipment,604889.968741657,86
CUS001535,Vegetables,604889.968741657,28
CUS001535,Fruits,604889.968741657,15
CUS001537,Unknown,578372.8503757092,2339
CUS001537,Other,578372.8503757092,2175
CUS001537,Seeds,578372.8503757092,880
CUS001537,Fertilizer,578372.8503757092,218
CUS001537,Feed,578372.8503757092,217
CUS001537,Agrochemicals,578372.8503757092,161
CUS001537,Equipment,578372.8503757092,86
CUS001537,Vegetables,578372.8503757092,28
CUS001537,Fruits,578372.8503757092,15
CUS001538,Fertilizer,22924099.381429017,218
CUS001538,Equipment,22924099.381429017,86
CUS001538,Vegetables,22924099.381429017,28
CUS001538,Fruits,22924099.381429017,15
CUS001542,Other,3183179.7920182697,2175
CUS001542,Fertilizer,3183179.7920182697,218
CUS001542,Feed,3183179.7920182697,217
CUS001542,Equipment,3183179.7920182697,86
CUS001542,Vegetables,3183179.7920182697,28
CUS001542,Fruits,3183179.7920182697,15
CUS001547,Unknown,1086190.5241234093,2339
CUS001547,Other,1086190.5241234093,2175
CUS001547,Feed,1086190.5241234093,217
CUS001547,Agrochemicals,1086190.5241234093,161
CUS001547,Equipment,1086190.5241234093,86
CUS001547,Vegetables,1086190.5241234093,28
CUS001547,Fruits,1086190.5241234093,15
CUS001550,Poultry,1941960.3410432744,10299
CUS001550,Unknown,1941960.3410432744,2339
CUS001550,Other,1941960.3410432744,2175
CUS001550,Fertilizer,1941960.3410432744,218
CUS001550,Feed,1941960.3410432744,217
CUS001550,Agrochemicals,1941960.3410432744,161
CUS001550,Equipment,1941960.3410432744,86
CUS001550,Vegetables,1941960.3410432744,28
CUS001550,Fruits,1941960.3410432744,15
CUS001552,Other,1477198.6484944574,2175
CUS001552,Seeds,1477198.6484944574,880
CUS001552,Fertilizer,1477198.6484944574,218
CUS001552,Feed,1477198.6484944574,217
CUS001552,Agrochemicals,1477198.6484944574,161
CUS001552,Equipment,1477198.6484944574,86
CUS001552,Vegetables,1477198.6484944574,28
CUS001552,Fruits,1477198.6484944574,15
CUS001554,Unknown,17019849.80948905,2339
CUS001554,Seeds,17019849.80948905,880
CUS001554,Fertilizer,17019849.80948905,218
CUS001554,Feed,17019849.80948905,217
CUS001554,Agrochemicals,17019849.80948905,161
CUS001554,Equipment,17019849.80948905,86
CUS001554,Vegetables,17019849.80948905,28
CUS001554,Fruits,17019849.80948905,15
CUS001556,Unknown,1110832.5627994477,2339
CUS001556,Other,1110832.5627994477,2175
CUS001556,Seeds,1110832.5627994477,880
CUS001556,Fertilizer,1110832.5627994477,218
CUS001556,Feed,1110832.5627994477,217
CUS001556,Agrochemicals,1110832.5627994477,161
CUS001556,Equipment,1110832.5627994477,86
CUS001556,Vegetables,1110832.5627994477,28
CUS001556,Fruits,1110832.5627994477,15
CUS001557,Unknown,1384443.5559835113,2339
CUS001557,Other,1384443.5559835113,2175
CUS001557,Seeds,1384443.5559835113,880
CUS001557,Fertilizer,1384443.5559835113,218
CUS001557,Feed,1384443.5559835113,217
CUS001557,Agrochemicals,1384443.5559835113,161
CUS001557,Equipment,1384443.5559835113,86
CUS001557,Vegetables,1384443.5559835113,28
CUS001557,Fruits,1384443.5559835113,15
CUS001558,Unknown,1363350.490557462,2339
CUS001558,Other,1363350.490557462,2175
CUS001558,Seeds,1363350.490557462,880
CUS001558,Fertilizer,1363350.490557462,218
CUS001558,Feed,1363350.490557462,217
CUS001558,Agrochemicals,1363350.490557462,161
CUS001558,Equipment,1363350.490557462,86
CUS001558,Vegetables,1363350.490557462,28
CUS001558,Fruits,1363350.490557462,15
CUS001562,Unknown,1727150.122948178,2339
CUS001562,Other,1727150.122948178,2175
CUS001562,Seeds,1727150.122948178,880
CUS001562,Fertilizer,1727150.122948178,218
CUS001562,Feed,1727150.122948178,217
CUS001562,Agrochemicals,1727150.122948178,161
CUS001562,Equipment,1727150.122948178,86
CUS001562,Vegetables,1727150.122948178,28
CUS001562,Fruits,1727150.122948178,15
CUS001564,Unknown,1954939.7796677104,2339
CUS001564,Other,1954939.7796677104,2175
CUS001564,Seeds,1954939.7796677104,880
CUS001564,Fertilizer,1954939.7796677104,218
CUS001564,Feed,1954939.7796677104,217
CUS001564,Agrochemicals,1954939.7796677104,161
CUS001564,Equipment,1954939.7796677104,86
CUS001564,Vegetables,1954939.7796677104,28
CUS001564,Fruits,1954939.7796677104,15
CUS001567,Unknown,3345285.182125178,2339
CUS001567,Seeds,3345285.182125178,880
CUS001567,Fertilizer,3345285.182125178,218
CUS001567,Feed,3345285.182125178,217
CUS001567,Vegetables,3345285.182125178,28
CUS001567,Fruits,3345285.182125178,15
CUS001568,Unknown,685254.2259106433,2339
CUS001568,Other,685254.2259106433,2175
CUS001568,Seeds,685254.2259106433,880
CUS001568,Fertilizer,685254.2259106433,218
CUS001568,Feed,685254.2259106433,217
CUS001568,Agrochemicals,685254.2259106433,161
CUS001568,Equipment,685254.2259106433,86
CUS001568,Vegetables,685254.2259106433,28
CUS001568,Fruits,685254.2259106433,15
CUS001570,Poultry,506617.3192557976,10299
CUS001570,Seeds,506617.3192557976,880
CUS001570,Fertilizer,506617.3192557976,218
CUS001570,Feed,506617.3192557976,217
CUS001570,Agrochemicals,506617.3192557976,161
CUS001570,Equipment,506617.3192557976,86
CUS001570,Vegetables,506617.3192557976,28
CUS001570,Fruits,506617.3192557976,15
CUS001572,Fertilizer,1683035.119261108,218
CUS001572,Feed,1683035.119261108,217
CUS001572,Agrochemicals,1683035.119261108,161
CUS001572,Equipment,1683035.119261108,86
CUS001572,Vegetables,1683035.119261108,28
CUS001572,Fruits,1683035.119261108,15
CUS001573,Other,1588351.8439836593,2175
CUS001573,Seeds,1588351.8439836593,880
CUS001573,Fertilizer,1588351.8439836593,218
CUS001573,Feed,1588351.8439836593,217
CUS001573,Agrochemicals,1588351.8439836593,161
CUS001573,Equipment,1588351.8439836593,86
CUS001573,Vegetables,1588351.8439836593,28
CUS001573,Fruits,1588351.8439836593,15
CUS001577,Fertilizer,29748915.282614317,218
CUS001577,Feed,29748915.282614317,217
CUS001577,Agrochemicals,29748915.282614317,161
CUS001577,Vegetables,29748915.282614317,28
CUS001577,Fruits,29748915.282614317,15
CUS001578,Fertilizer,6829250.066261915,218
CUS001578,Agrochemicals,6829250.066261915,161
CUS001578,Equipment,6829250.066261915,86
CUS001578,Vegetables,6829250.066261915,28
CUS001578,Fruits,6829250.066261915,15
CUS001585,Feed,16092884.389316097,217
CUS001585,Equipment,16092884.389316097,86
CUS001585,Vegetables,16092884.389316097,28
