Customer_ID,RFM_Segment,Action,Monetary,Predicted_CLV,Churn_Probability,Purchase_Timing_Status,Recency
CUS000144,Champions,Contact Now: High-Value Due,292000.0,302979.8664407878,0.797593801651748,Due Soon,176
CUS001399,Champions,Contact Now: High-Value Due,238975.0,267274.3609839626,0.7358679480280923,Due Soon,167
CUS001157,Champions,Contact Now: High-Value Due,26773000.0,26730847.750100914,0.999812466903936,Due Soon,209
CUS001569,About to Sleep,Contact Now: High-Value Due,213000.0,184157.0638383093,0.8253119916363196,Due Soon,96
CUS000772,Champions,Contact Now: High-Value Due,2478299.99,2546762.874456289,0.9995099778293575,Due Soon,182
CUS000276,Champions,Contact Now: High-Value Due,1337790.0,1292493.3113626002,0.999492183478096,Due Soon,181
CUS000412,Champions,Contact Now: High-Value Due,932849.98,952709.7404245735,0.999524037222619,Due Soon,281
CUS002268,Champions,Contact Now: High-Value Due,882498.4,933965.4007539285,0.9995046628091204,Due Soon,553
CUS001406,Champions,Contact Now: High-Value Due,753500.0,897413.4725312841,0.9994888906698329,Due Soon,194
CUS002815,Big Spenders,Contact Now: High-Value Due,2799399.59,2753230.5949386396,0.9993909122774922,Due Soon,183
CUS003097,Champions,Contact Now: High-Value Due,603799.94,575132.821899113,0.9993489616032661,Due Soon,350
CUS002234,Champions,Contact Now: High-Value Due,422500.0,401129.8900075073,0.9993230787124221,Due Soon,369
CUS000434,Champions,Contact Now: High-Value Due,329750.0,329161.9764437252,0.999381892404916,Due Soon,494
CUS002645,Champions,Contact Now: High-Value Due,270299.92,271929.99823263695,0.9993723387513875,Due Soon,203
CUS001943,Big Spenders,Contact Now: High-Value Due,370000.0,368686.82628991886,0.9994410756454629,Due Soon,183
CUS002316,About to Sleep,Contact Now: High-Value Due,180000.0,162288.2327848323,0.9995457789599155,Due Soon,418
CUS000409,About to Sleep,Contact Now: High-Value Due,144000.0,141296.59300739632,0.9995457789599155,Due Soon,453
CUS000388,About to Sleep,Contact Now: High-Value Due,141250.0,138704.63566335247,0.9995456597856065,Due Soon,531
